gene_id,gene_name,cell_line_count,cell_lines,mean_site_count,mean_score
ENSG00000001629,ANKIB1,5,"A549,HCT116,HepG2,K562,MCF7",1.2,0.24500000000000002
ENSG00000004897,CDC27,5,"A549,HCT116,HepG2,K562,MCF7",2.8,0.3382
ENSG00000004864,SLC25A13,5,"A549,HCT116,HepG2,K562,MCF7",1.8,0.31233333333333335
ENSG00000000419,DPM1,5,"A549,HCT116,HepG2,K562,MCF7",2.0,0.35300000000000004
ENSG00000001036,FUCA2,5,"A549,HCT116,HepG2,K562,MCF7",1.8,0.45999999999999996
ENSG00000003249,DBNDD1,5,"A549,HCT116,HepG2,K562,MCF7",4.2,0.33494999999999997
ENSG00000003056,M6PR,5,"A549,HCT116,HepG2,K562,MCF7",7.0,0.39794999999999997
ENSG00000282034,AC106886.5,5,"A549,HCT116,HepG2,K562,MCF7",5.8,0.2906444444444444
ENSG00000004142,POLDIP2,5,"A549,HCT116,HepG2,K562,MCF7",4.8,0.48986666666666673
ENSG00000276045,ORAI1,5,"A549,HCT116,HepG2,K562,MCF7",3.8,0.3741
ENSG00000143753,DEGS1,5,"A549,HCT116,HepG2,K562,MCF7",5.6,0.42178095238095237
ENSG00000143756,FBXO28,5,"A549,HCT116,HepG2,K562,MCF7",2.4,0.34473333333333334
ENSG00000181472,ZBTB2,5,"A549,HCT116,HepG2,K562,MCF7",4.8,0.3270909090909091
ENSG00000181625,SLX1B,5,"A549,HCT116,HepG2,K562,MCF7",1.0,0.43
ENSG00000143621,ILF2,5,"A549,HCT116,HepG2,K562,MCF7",2.6,0.333
ENSG00000180992,MRPL14,5,"A549,HCT116,HepG2,K562,MCF7",4.6,0.4992142857142857
ENSG00000143740,SNAP47,5,"A549,HCT116,HepG2,K562,MCF7",5.0,0.332247619047619
ENSG00000181027,FKRP,5,"A549,HCT116,HepG2,K562,MCF7",4.2,0.2815777777777778
ENSG00000181038,METTL23,5,"A549,HCT116,HepG2,K562,MCF7",2.2,0.3008
ENSG00000144381,HSPD1,5,"A549,HCT116,HepG2,K562,MCF7",2.0,0.4666666666666666
ENSG00000010165,METTL13,5,"A549,HCT116,HepG2,K562,MCF7",6.8,0.30233333333333334
ENSG00000010244,ZNF207,5,"A549,HCT116,HepG2,K562,MCF7",4.2,0.34700000000000003
ENSG00000008952,SEC62,5,"A549,HCT116,HepG2,K562,MCF7",4.4,0.37173333333333336
ENSG00000019995,ZRANB1,5,"A549,HCT116,HepG2,K562,MCF7",6.4,0.34800476190476193
ENSG00000007923,DNAJC11,5,"A549,HCT116,HepG2,K562,MCF7",3.8,0.38895238095238094
ENSG00000008130,NADK,5,"A549,HCT116,HepG2,K562,MCF7",6.6,0.29968333333333336
ENSG00000274523,RCC1L,5,"A549,HCT116,HepG2,K562,MCF7",2.0,0.44400000000000006
ENSG00000009954,BAZ1B,5,"A549,HCT116,HepG2,K562,MCF7",2.4,0.29166666666666663
