gene_id,site_count,mean_score,gene_name,Cell_Line
ENSG00000103257,29,0.49689655172413794,SLC7A5,A549
ENSG00000139211,25,0.3644,AMIGO2,A549
ENSG00000167747,24,0.31583333333333335,C19orf48,A549
ENSG00000163435,24,0.4245833333333333,ELF3,A549
ENSG00000136205,20,0.351,TNS3,A549
ENSG00000103257,48,0.6027083333333333,SLC7A5,HCT116
ENSG00000083857,47,0.4338297872340426,FAT1,HCT116
ENSG00000101188,44,0.5779545454545455,NTSR1,HCT116
ENSG00000138434,43,0.5369767441860465,SSFA2,HCT116
ENSG00000114867,43,0.4890697674418605,EIF4G1,HCT116
ENSG00000242265,55,0.4078181818181818,PEG10,HepG2
ENSG00000084674,43,0.4281395348837209,APOB,HepG2
ENSG00000171456,39,0.33974358974358976,ASXL1,HepG2
ENSG00000050820,39,0.31435897435897436,BCAR1,HepG2
ENSG00000197586,38,0.41526315789473683,ENTPD6,HepG2
ENSG00000112715,35,0.39285714285714285,VEGFA,K562
ENSG00000185686,34,0.4885294117647059,PRAME,K562
ENSG00000173821,27,0.3333333333333333,RNF213,K562
ENSG00000055118,27,0.38666666666666666,KCNH2,K562
ENSG00000142541,24,0.44,RPL13A,K562
ENSG00000101199,37,0.33513513513513515,ARFGAP1,MCF7
ENSG00000163435,35,0.49742857142857144,ELF3,MCF7
ENSG00000189143,30,0.457,CLDN4,MCF7
ENSG00000197119,29,0.38620689655172413,SLC25A29,MCF7
ENSG00000182149,26,0.3688461538461538,IST1,MCF7
